测试情景编号,问题二方案七年利润/元,问题三方案七年利润/元,配对利润差Q3-Q2/元,问题二方案滞销率,问题三方案滞销率
30,36504817.256865904,40849265.54148704,4344448.284621134,0.2769928614118854,0.1067388225296872
31,35930364.35207894,40314753.272359386,4384388.920280449,0.2850952442493852,0.11338518944068307
32,36573401.27111563,40846008.801177815,4272607.530062184,0.26960131395866616,0.09846758400075159
33,36792942.387436375,41117123.26739769,4324180.879961312,0.27451040919846137,0.10724045384692969
34,36698168.150861405,41032176.77327716,4334008.622415759,0.2725378466813555,0.10552574491638166
35,36246938.124985665,40583824.547834985,4336886.42284932,0.2800667860163217,0.11081344122956013
36,36527406.4743178,40866265.01630187,4338858.541984074,0.27303415743173387,0.10272507011190424
37,36683469.45469461,40998463.52450786,4314994.0698132515,0.27558392517988195,0.11023914806535277
38,36998317.18086737,41267462.0823565,4269144.901489131,0.27834939796120123,0.11501654633297094
39,36420830.790823184,40570521.57100183,4149690.7801786438,0.27124713283954655,0.10603781586852244
40,36455527.480758645,40664573.8468275,4209046.366068855,0.25854647582351914,0.09256146747051847
41,36403701.65028069,40808635.44856427,4404933.798283577,0.2816294492520305,0.11059818302986611
42,36166091.77294948,40384834.78040931,4218743.007459827,0.27508783466953635,0.10949654357714228
43,36138852.04900514,40425335.00184843,4286482.952843286,0.28483622227772076,0.11437864082421247
44,36130989.704377845,40350406.24316403,4219416.538786188,0.271946691005466,0.10263840460725353
45,36666526.72212129,40855051.75749581,4188525.035374522,0.27817237048725096,0.10605712166711449
46,36858984.95517932,41288351.88317159,4429366.927992269,0.2679593543190751,0.09976033821180817
47,36753996.67997283,41265677.1146475,4511680.434674673,0.2759656066876368,0.10543645267394389
48,36628221.08356036,40905327.87475586,4277106.791195497,0.2728585793079117,0.10694058998863257
49,36846890.32733238,41058581.253070995,4211690.925738618,0.28513432003077105,0.1169736685294646
50,36686168.55292807,41084586.99644648,4398418.443518415,0.2813308132887443,0.11343682732154185
51,36533456.26354532,40608288.38415805,4074832.120612733,0.26571805448449326,0.0991610525478526
52,36389595.77917579,40658434.49267261,4268838.713496819,0.283167378805468,0.11372148965631294
53,36423040.94789709,40742506.00049328,4319465.052596189,0.2844426817090175,0.11796819284741066
54,36708339.62545006,41134522.7258857,4426183.100435637,0.2754797737013812,0.11177300238901261
55,36326462.70489673,40595074.01789373,4268611.312996998,0.2746667329883851,0.10889529705151418
56,36252072.88212515,40627969.49454485,4375896.612419702,0.2839198178038668,0.1159410241221467
57,36237318.86653016,40627608.29148985,4390289.424959689,0.2763159607563476,0.10235638071956557
58,36610604.20830788,40964543.021336064,4353938.813028187,0.2760727514278268,0.10657545169995564
59,36233206.44645177,40650098.62849569,4416892.182043925,0.27944179223357074,0.10895784938958465
60,37151067.32269626,41516672.94571438,4365605.623018116,0.27420876736915933,0.10381939483385749
61,36111796.7548783,40546087.302863106,4434290.547984809,0.2793082794437682,0.11022490191780991
62,36943829.184933215,41323590.26601643,4379761.081083216,0.27580414525046243,0.10718703166744296
63,36132817.381160505,40182887.34176617,4050069.960605666,0.2731507179427214,0.1086806620939291
64,36301454.69193011,40615606.54555487,4314151.853624761,0.2728036434393187,0.10938385016886869
65,36822413.97981837,41226623.086825356,4404209.107006989,0.2781827647497208,0.11597496471895076
66,36220472.55317852,40534157.36965156,4313684.816473044,0.274809968305852,0.10412828194956787
67,36646781.47860139,41081481.733393274,4434700.254791886,0.28029698756471244,0.1110719421142429
68,37082887.62779088,41370627.517993525,4287739.8902026415,0.2768510148995858,0.10857739914107556
69,36319857.55056483,40631301.760763526,4311444.210198693,0.27242431730066785,0.10674746934694171
70,36122096.71927586,40365139.52585659,4243042.80658073,0.28385600643951836,0.12140641480535437
71,36312125.75354511,40475398.461875476,4163272.708330363,0.2697571943863257,0.10248346877891566
72,36445418.995611034,40708687.226116054,4263268.230505019,0.2680495433104601,0.09874585388195986
73,36595891.9172356,41055824.919899546,4459933.002663948,0.28218233959752675,0.10842165139431346
74,36494606.57530987,40901471.25062491,4406864.675315037,0.28292580064204703,0.11751097166207937
75,36421405.20146332,40773312.111662254,4351906.910198934,0.28190106126897546,0.11472525444708176
76,36305308.60291212,40500047.31644645,4194738.713534333,0.2711491883504158,0.10739861043004391
77,36898131.61313523,41075908.14991865,4177776.5367834195,0.2672836824704933,0.10013235022909756
78,36325083.353441656,40848034.68758574,4522951.334144086,0.2804059205572285,0.10692830425927516
79,36754029.04717792,41103572.080601946,4349543.033424027,0.2737225246079762,0.10335116104622417
80,36957983.455446996,41269995.35063879,4312011.895191796,0.2714935001771379,0.103061582811918
81,36379846.362701274,40613332.66894967,4233486.306248397,0.2768499499493957,0.11082844093266754
82,36287573.162919395,40497790.85849461,4210217.695575215,0.26826135597200174,0.10267148883391676
83,36543202.486285634,41008588.7743591,4465386.288073465,0.27583756633312995,0.10423325970342909
84,36553402.87447563,40877234.7629333,4323831.888457671,0.2880557524266376,0.12176299871996767
85,36377147.16030276,40698794.2777975,4321647.11749474,0.2722190767237712,0.107473079232226
86,36168179.352031894,40611441.638596684,4443262.28656479,0.28562319051713037,0.11660841169099055
87,36524650.20982599,40721856.652893685,4197206.443067692,0.28198667132980726,0.12126664879751864
88,36366320.91658123,40691327.58784743,4325006.671266198,0.2700996499617102,0.10220480882448188
89,36657550.270567015,40780313.61821575,4122763.3476487324,0.27506762785255046,0.11073776139708373
90,36070548.662320435,40432824.842730135,4362276.1804097,0.27639777232455376,0.10495671118525353
91,36310391.00786378,40481641.555479884,4171250.547616102,0.2790349547162159,0.11708197697399597
92,36859488.061112724,41468077.77148325,4608589.710370526,0.2890335162235711,0.11881108245842356
93,36535851.47256769,40764991.34541367,4229139.872845978,0.27435552599467045,0.10620976055176941
94,35971704.66959913,40209880.67767077,4238176.008071639,0.2717656476529562,0.10208415266382183
95,37133352.77249579,41417045.75043309,4283692.977937296,0.27125683571537523,0.10668190280827751
96,36376519.08910433,40548805.20434067,4172286.1152363345,0.2619481567438356,0.09213523073223462
97,36057982.58241841,40431617.55400885,4373634.971590437,0.2707119708934119,0.09864125538279658
98,36452814.8404899,40799413.96202116,4346599.121531256,0.2802061941552452,0.11327665275656022
99,36620716.26862975,40869329.10464304,4248612.836013287,0.2691512954210488,0.10369586552918428
100,36475577.03426345,40715670.22355759,4240093.1892941445,0.2762538708627498,0.11131378844388255
101,36890166.69098,41152526.23062754,4262359.5396475345,0.2790782502950081,0.10968663968264451
102,37046465.60635431,41236385.81004665,4189920.2036923394,0.28229743156679127,0.12167471924797543
103,36709469.28424235,41097916.51945245,4388447.235210106,0.27416939055776857,0.10495787814654248
104,36323557.66566474,40464343.62578962,4140785.96012488,0.26910289357943773,0.10332368712937966
105,36656920.69043412,41018949.135232285,4362028.444798164,0.27376168674289375,0.10338934762040689
106,36106330.67537387,40274822.77869099,4168492.103317119,0.2682493176888857,0.10303131305124914
107,35999801.28861695,40442523.96392845,4442722.675311506,0.27322600485019294,0.10408287696753622
108,36713760.492438406,41023663.34041226,4309902.847973853,0.2698848663425805,0.10262031002962033
109,36212971.37245536,40537816.293805376,4324844.921350017,0.27303561545030014,0.10202252319908409
110,36022528.825676106,40286755.3580475,4264226.532371394,0.26434781095647447,0.09549891423888995
111,36091922.13452435,40460407.48528953,4368485.350765176,0.28241333553206127,0.11794597498201481
112,36517694.86182959,40854529.26636525,4336834.404535666,0.2757727097561854,0.106537581008209
113,36165276.28697379,40645473.03792088,4480196.750947088,0.27454173684514693,0.1039510066072602
114,36379581.45265095,40608608.50077297,4229027.048122019,0.2804133825663206,0.11252292713331895
115,35868275.69563438,39959290.59762007,4091014.90198569,0.261730383080944,0.0957464728903573
116,36390495.64267892,40494045.353006,4103549.7103270814,0.2678552712338428,0.10013027082866069
117,36121715.60718332,40500868.81271926,4379153.205535941,0.2693915275996783,0.09836334138070899
118,36017603.64623889,40339569.20981714,4321965.563578248,0.2761454318359237,0.10609889172732363
119,37027772.92042824,41398864.46427539,4371091.543847151,0.2722456994472946,0.1011858885207973
120,36253938.60725231,40777422.136939086,4523483.529686779,0.28106302235128877,0.11011050149810321
121,36326346.76297355,40637070.5476603,4310723.784686752,0.27583929820265296,0.10606538014661122
122,36045743.797285005,40424524.2917917,4378780.494506694,0.28986982683469636,0.11917195057174465
123,35976461.67070087,40212180.42664389,4235718.755943023,0.27833103751287963,0.10609667442331802
124,36571512.24151146,40868703.46166258,4297191.220151126,0.28278249828520374,0.11907451288742024
125,36922622.506628394,41214984.684911,4292362.178282604,0.27601290244813215,0.10711240161865998
126,36106063.19628103,40296851.06753552,4190787.871254489,0.27178359491593,0.10316797614176741
127,36706972.7462737,41035318.05288131,4328345.3066076115,0.2780379137915956,0.11129481059069714
128,35973118.290923774,40094046.28234593,4120927.991422154,0.2784404139682516,0.110031084940593
129,36628771.27703407,40756328.629041314,4127557.3520072475,0.2600125591129598,0.088206346665363
130,36348869.92374877,40718833.146701016,4369963.222952247,0.26596329276608915,0.09658433476879907
131,36175118.57758326,40384631.437870935,4209512.860287674,0.28041868588391483,0.11718760265622079
132,36051974.818814896,40304698.78252975,4252723.963714853,0.27192871120248113,0.09769143453141614
133,36756725.44931073,41152527.158650376,4395801.7093396485,0.26469702968302994,0.09946137269097739
134,36370838.85209537,40671856.554262236,4301017.702166863,0.2764070029978436,0.10683195572932924
135,36310941.88900989,40749943.22167273,4439001.332662836,0.2737410580397762,0.10902274886483672
136,36450762.02779157,40761080.354593284,4310318.326801717,0.2864953118692754,0.1214042206260636
137,36486611.770199835,41038526.26196792,4551914.4917680845,0.28022335126641507,0.10752957936812145
138,36120406.11689178,40470663.00121757,4350256.884325787,0.28129851585366816,0.1138199958248571
139,36811076.92530834,41322670.93614045,4511594.010832109,0.2738872864347135,0.10311005931923649
140,36517044.68989874,40757992.06861848,4240947.37871974,0.2821468112314794,0.1172332272309513
141,36147153.46786956,40524849.145257704,4377695.6773881465,0.2764869016241877,0.10980060774085143
142,36316339.02357609,40473855.60350681,4157516.5799307227,0.2710115976808094,0.09939544435414273
143,36263931.6344858,40495271.63858734,4231340.004101537,0.2834552322227192,0.11549347328821599
144,36461408.10704142,40659676.83082488,4198268.723783463,0.2736768006498366,0.1078451673765499
145,36471511.80258166,40613369.10365489,4141857.301073231,0.27000047991587334,0.10509663382424533
146,36456283.338860676,40781657.46358476,4325374.124724083,0.26794333061645237,0.0983122532909997
147,36484441.41717264,40721386.06747362,4236944.65030098,0.27960921977174175,0.11112138956500203
148,36787566.095784575,41178509.753995895,4390943.658211321,0.2810158298630486,0.11036413235943687
149,36197462.30328139,40412939.80648153,4215477.503200144,0.27309597627239357,0.10765535581581306
150,36966044.30591917,41279694.43845163,4313650.1325324625,0.28126821999123225,0.11559335586659439
151,36118155.05063897,40438361.007351086,4320205.956712112,0.2742050947516917,0.11076227659807465
152,36503292.66990975,40721530.6153434,4218237.945433646,0.2742046673957352,0.11225741124734806
153,36097745.226615496,40224012.61152378,4126267.3849082813,0.28976222987403477,0.12494750906514271
154,35803381.38390051,40077563.8287256,4274182.4448250905,0.2785329246495601,0.1150884320098603
155,36376473.8502948,40459314.2712305,4082840.420935698,0.2691278849029413,0.10138909995157908
156,36139117.165324055,40724147.49369064,4585030.328366585,0.2823932389888443,0.10961511391710871
157,36393899.84459811,40676775.23298666,4282875.388388552,0.2703212156331587,0.09990686475151306
158,36270491.5508824,40630238.21609389,4359746.665211491,0.27043025129130427,0.10673308172005427
159,36530827.0813027,40755682.62279466,4224855.5414919555,0.2704605233026812,0.10294870513486068
160,36183283.19891013,40580369.719395146,4397086.520485014,0.2738405547236377,0.10422611731036306
161,36235125.56907744,40431501.70555689,4196376.136479452,0.2690337856841906,0.09924727125149661
162,36709856.86519692,41137129.86684971,4427273.001652792,0.2777056635707533,0.1076520874037957
163,36594448.424234055,40976444.03762593,4381995.613391876,0.27819692315628763,0.1088119241143262
164,36734162.13297111,41141250.210424185,4407088.077453077,0.26934635474821944,0.09939604600165505
165,35992909.48031798,40305319.45996071,4312409.9796427265,0.2677864886558295,0.09657803168637989
166,35893131.4919165,40233505.52925545,4340374.03733895,0.2702510781863869,0.10134369806170457
167,35731843.21701243,39984046.207159206,4252202.9901467785,0.2726306850054313,0.10283327534826268
168,36091839.62583171,40511267.88931706,4419428.26348535,0.2814020421769752,0.11519291087109648
169,36542210.81212154,40849869.33051963,4307658.518398091,0.26957905062421295,0.09988805612745837
170,36608384.079194985,40961122.805788636,4352738.726593651,0.2730675053457771,0.10479236659601075
171,36567710.98378883,41011111.740090825,4443400.756301992,0.28310332190519905,0.11290398225421765
172,36227425.89585069,40438272.80914804,4210846.913297355,0.2798018799810604,0.11241170406087286
173,36146720.73023091,40228167.1517794,4081446.4215484858,0.27747104924670396,0.11510419629979204
174,36465382.3527527,40793950.548368886,4328568.195616186,0.27222754937626037,0.10560368964092888
175,36332393.22644984,40482488.53167222,4150095.305222377,0.2758906079714454,0.11477548320840375
176,36529047.78030421,40779793.99219592,4250746.211891711,0.27452567250402093,0.10811739996414393
177,36461434.25558064,40794096.93046825,4332662.674887605,0.2734717703693976,0.10924836700555225
178,36699050.29872329,41107934.34919434,4408884.0504710525,0.2676630269401989,0.09930853333608296
179,36391242.42985223,40584781.28233874,4193538.852486506,0.26926589201008694,0.10331336099701562
180,36052173.66416955,40365803.792008005,4313630.127838455,0.27099700216320427,0.10080650022234132
181,36411197.23849572,40715615.63538419,4304418.396888465,0.2817535328706492,0.11275454920232905
182,36423640.637395725,40534928.07793258,4111287.4405368567,0.2742591902215883,0.10658141036388999
183,36141097.56348427,40356829.799792714,4215732.236308448,0.2680724328970589,0.1028435384246989
184,36176233.85563005,40242109.6652104,4065875.809580356,0.26769970554640143,0.09912068160910176
185,36459438.32043443,40668843.21924963,4209404.8988152,0.2754073609484094,0.1094151400431435
186,36531892.39173495,40811380.3249681,4279487.933233149,0.2634296504000843,0.08920740895567388
187,35914212.70644832,40107436.553535126,4193223.8470868096,0.2734449762587961,0.10339179550406395
188,36296674.81389935,40622783.7722737,4326108.958374344,0.27853006319111095,0.10818485388472747
189,36422444.03599133,40678967.30237783,4256523.266386494,0.2773533114547292,0.11223904467645593
190,35969981.913384065,40309542.04649943,4339560.133115366,0.2794903866481814,0.10525606673575777
191,36306447.78955422,40635061.75089811,4328613.9613438845,0.275749355636895,0.10470195047223825
192,36249386.41103314,40675564.168262616,4426177.757229477,0.2816661261349909,0.11213169561503855
193,36493682.6473083,40857440.22259648,4363757.575288184,0.2792244927370795,0.11135915574394578
194,36203576.55498576,40430105.17431253,4226528.61932677,0.28629234079541793,0.12207287341244748
195,36519153.65906042,40923300.55677358,4404146.897713162,0.27899979752970117,0.1121319589183337
196,36909762.12168329,41266948.881278485,4357186.759595193,0.27487151580649666,0.10769592019649804
197,35815691.441743985,39944770.52016434,4129079.078420356,0.2656831762349069,0.09964540940985706
198,36148799.230135284,40422853.97025629,4274054.740121007,0.27767534049799514,0.11053097823257023
199,36329362.09051522,40551907.30275815,4222545.212242931,0.2791346781855132,0.1167881096889532
200,36393603.93886264,41012336.61399708,4618732.675134443,0.27587387951509534,0.1007887980093987
201,35884497.92605082,39828374.96548912,3943877.0394383,0.27639517891550536,0.11765260633672363
202,36628733.61651016,41034465.073639296,4405731.457129136,0.27715699034430347,0.11059093664557226
203,36688926.95558079,40924366.388209775,4235439.432628982,0.27601422301953876,0.10961234429740467
204,36458028.15304734,40694253.074939184,4236224.921891846,0.2777950283914154,0.11041800950617471
205,36814587.7929534,41066245.99890667,4251658.20595327,0.2740240235541302,0.10469897346254996
206,36474006.67660431,40966935.84965252,4492929.173048213,0.2731275888568596,0.10241296809733144
207,36768592.598211974,41277116.2879858,4508523.689773828,0.2756304104729274,0.10536093334127007
208,36770647.30792195,41211312.319889516,4440665.011967562,0.2948928585823166,0.12838210970408512
209,36170914.325292304,40236999.79879256,4066085.473500259,0.2734912697491685,0.10592789467252282
210,36523220.40094431,40806225.42435365,4283005.023409344,0.26718644809467557,0.09645426727342256
211,36165767.09605401,40491416.516791135,4325649.420737125,0.2652276464817896,0.09667283887723374
212,36301803.619374454,40762782.8684285,4460979.2490540445,0.27876485576663795,0.1054349204604773
213,35737733.4597759,39893524.04952876,4155790.5897528604,0.2671371522772584,0.1027637681349697
214,36253997.02558111,40671306.917059466,4417309.89147836,0.27549602108521826,0.10544312241395185
215,35852487.506383166,40157646.00068913,4305158.494305961,0.2754550619811117,0.10731696301315506
216,36504541.99990413,40903297.54585737,4398755.5459532365,0.2795229607983716,0.10729530942583114
217,36333040.80737731,40663858.45388403,4330817.646506719,0.2729743124060725,0.09872109574027252
218,36838618.301509544,41227127.94508273,4388509.643573187,0.28275900812495613,0.11524890863289322
219,36652615.84688554,41052732.59456727,4400116.7476817295,0.2807407822384755,0.1088666901881943
220,37338391.22709898,41950595.848010875,4612204.620911896,0.27869049930350726,0.10680361305501487
221,36446888.01266393,40701986.75620982,4255098.74354589,0.2698067382376879,0.10134601511331605
222,36642101.50658954,40910031.67341973,4267930.1668301895,0.26888988574691775,0.10360249145991196
223,36038514.72323257,40502518.44623279,4464003.723000221,0.28698477962225544,0.11808048359582
224,36714214.83948189,41031274.39051313,4317059.551031239,0.2806894272254215,0.11619991241435655
225,36054289.5076909,40295956.030909814,4241666.523218915,0.2687414036511723,0.10148528553415226
226,35994913.70236938,40373179.01117538,4378265.308806002,0.27963493776960774,0.11640275059857597
227,36476192.72971167,40506211.80336289,4030019.0736512244,0.25766091660206736,0.09204228024291446
228,36267679.60068506,40711558.12394975,4443878.523264691,0.280138865437771,0.1119281363753137
229,36783773.22918384,41249180.636680186,4465407.407496348,0.2852643865774499,0.11522049445708246
230,36004371.159040384,40255196.99700263,4250825.837962247,0.278048109739448,0.10697904430735909
231,36001642.916620135,40198285.60814598,4196642.691525847,0.26946027309732273,0.09680435054769967
232,36535321.47380273,41043989.04060729,4508667.566804558,0.2822661228180667,0.11004340436499033
233,36635735.58141552,40976356.64542645,4340621.064010933,0.27362845961607646,0.10809062026948581
234,36313694.515920155,40624484.325225614,4310789.809305459,0.2770521469136848,0.10880203325412378
235,35980667.70339669,40219399.04571648,4238731.342319787,0.2741934036944671,0.11062127035802921
236,36195243.22884807,40581057.574295275,4385814.345447205,0.27278029137246673,0.10282061575749013
237,36445208.718008734,40819790.986492395,4374582.268483661,0.27281404357666256,0.1013389059039439
238,36049293.51732652,40276963.46011078,4227669.942784265,0.26285119429851417,0.10242403595966079
239,36276526.87814924,40504695.170768894,4228168.292619653,0.2777078472032895,0.11034948907391028
240,36395539.1131006,40750496.0398436,4354956.926742993,0.283040372540015,0.11586276434652748
241,36334951.25468796,40692211.19428237,4357259.93959441,0.2755974738268745,0.11043426044867657
242,36412942.0389667,40617783.17466971,4204841.135703012,0.2695591525513935,0.10751613580023818
243,36105440.06290465,40424225.00766647,4318784.94476182,0.28005301831669294,0.11091198207288808
244,36629867.89225905,40882156.693272874,4252288.801013827,0.26929073233490514,0.1071492105206399
245,36605273.9311612,40870228.400256865,4264954.469095662,0.27895888965085186,0.11037122662659826
246,36541916.449218035,40868894.634938985,4326978.18572095,0.27547953625701466,0.1130131150965224
247,36828603.69393572,41131876.11271684,4303272.418781117,0.2770625157263734,0.11101602300072325
248,36232172.28737631,40501409.02616933,4269236.738793023,0.2776861868357507,0.11002194828825863
249,36907146.22626345,41252286.99013314,4345140.763869688,0.2649843547111198,0.09842298683321736
250,35984500.397167385,40247890.608513385,4263390.211346,0.27238310123062326,0.10295330142962035
251,36906281.76244322,41223488.46607749,4317206.70363427,0.27239445823451625,0.10454093872201242
252,36624805.78488006,40799372.306095704,4174566.5212156475,0.26769946091788605,0.10054888670367688
253,35983969.09472043,40252966.359341785,4268997.264621355,0.2698621457655378,0.10389634132538549
254,35701978.92000552,40191058.17221667,4489079.252211146,0.27183572933227174,0.09807628412002957
255,36815049.03170748,41114178.52285538,4299129.491147898,0.27437674824296204,0.10479357628681417
256,36421229.126689464,40741037.82822521,4319808.701535746,0.2711725511559391,0.10733478824004473
257,36451153.453993276,40500890.97044948,4049737.5164562017,0.2695381054910734,0.10281421844509592
258,36252151.28945439,40346527.19602161,4094375.906567216,0.2722601136207272,0.10236833599984235
259,36306019.0356874,40627921.17308319,4321902.137395792,0.26981380059044807,0.10298039101372623
260,36317920.147654794,40705156.29094978,4387236.143294983,0.27659082669416307,0.10771571933341435
261,36020700.719638236,40446770.03290345,4426069.313265212,0.2739246241175425,0.10357329302963246
262,36207319.8161474,40441461.12274568,4234141.306598276,0.27540745391839627,0.11072159892900216
263,36358275.61500606,40576516.14370782,4218240.52870176,0.2730298675986965,0.11227939244156093
264,36001227.86687909,40199706.12399563,4198478.257116541,0.2823716748801747,0.11379562102453174
265,35800110.29751892,40004802.321595244,4204692.024076328,0.26671252125943157,0.09758752352545352
266,36381851.16832474,40537873.38415317,4156022.2158284336,0.27618065440003003,0.10950585333924283
267,36013678.59311153,40382895.125973076,4369216.532861546,0.26501408304437357,0.09932119254607467
268,36698600.14284718,40918266.11941892,4219665.976571739,0.2643514712969297,0.0993700639589192
269,36910560.92199161,41309239.87894118,4398678.956949569,0.2762509122071026,0.1052119212576264
270,36231480.86062663,40694964.20644926,4463483.345822632,0.27768928187603503,0.10527808302353932
271,36561227.43730995,40995509.173864655,4434281.736554705,0.273703407831232,0.10818395655394669
272,35838763.72900943,40099506.68271443,4260742.953705005,0.2685531445007041,0.09696935446812056
273,36397788.22897014,40928034.98115394,4530246.752183802,0.27973692617920753,0.10946173705973454
274,36734605.338665,41260915.78719279,4526310.448527791,0.2788060462349798,0.10093610029063432
275,35898184.26086508,40018833.26945266,4120649.008587584,0.2696571666477539,0.10589598872281625
276,36452184.90706274,40755433.59461564,4303248.687552899,0.27595376673925515,0.11002612282863065
277,36482297.32611415,40900904.36223522,4418607.03612107,0.267450463277281,0.09891137378622396
278,36133985.2803356,40485421.10861541,4351435.828279816,0.2839492078947661,0.11472720998222677
279,36468175.62298329,40699233.34678894,4231057.723805651,0.26779684722366554,0.1029352389424458
280,37119503.95423428,41466221.045256965,4346717.091022685,0.2742702680376305,0.11016725420623733
281,36053338.1417292,40341614.05736495,4288275.91563575,0.27637695167978743,0.10738578800116333
282,36275881.48258752,40504945.79406309,4229064.311475575,0.27600597894584944,0.11111372717674264
283,36677411.11847795,40991105.82849411,4313694.710016161,0.28548897372127524,0.11917497524365003
284,36211583.77407878,40293131.880530894,4081548.106452115,0.2644821868613505,0.09721413477406385
285,35585045.60427422,39802710.85412621,4217665.249851987,0.2784756364362212,0.1096264873882907
286,36339603.856175266,40582931.52912632,4243327.67295105,0.26656314693679656,0.09887697505360976
287,35910605.94389503,40271501.12526697,4360895.181371942,0.27249567986485884,0.10520720500827094
288,36109993.804599926,40407937.65624553,4297943.851645604,0.27445058493831065,0.10442726666416254
289,36476564.90246415,40590611.70022721,4114046.797763057,0.2724416323263372,0.10902831183108003
290,36449438.69186604,40841136.999723524,4391698.307857484,0.2743292201175015,0.10365906307756637
291,36036380.0862861,40588074.98352156,4551694.897235461,0.2870071455718789,0.11302476049233132
292,36453698.36412654,40912717.065426484,4459018.701299943,0.28032325055735624,0.11306975762561948
293,36638253.49483492,41006196.63401129,4367943.139176369,0.27643006717270335,0.10839769088375541
294,36349524.56130176,40658841.20217128,4309316.640869521,0.2675027027046684,0.09851240695716038
295,36116643.97495134,40460775.218763165,4344131.243811823,0.28041537055608645,0.11211434203664704
296,36721721.203390196,41200116.325978145,4478395.122587949,0.2745115149834749,0.10579790610586254
297,36811112.57738865,41195684.785166405,4384572.2077777535,0.2716219262053651,0.10661692135674986
298,36853831.32475033,41143875.32313948,4290043.998389155,0.271085079873637,0.10424957171565817
299,36605247.347385906,41042039.46364986,4436792.116263956,0.2757800902500387,0.1120700988440575
300,36366782.72923088,40839106.43214537,4472323.702914491,0.27741065222649114,0.10854593112323845
301,36552970.958151996,40893672.698924065,4340701.7407720685,0.2729327757708079,0.10509154352163874
302,35800415.356612235,39962576.960308775,4162161.60369654,0.27532536577050515,0.10368371830781124
303,36332353.96684183,40593262.597130485,4260908.630288653,0.28324073153411095,0.11828728433191958
304,36742730.19778056,40931170.97093541,4188440.773154855,0.26636971628082223,0.09630265068288907
305,36130785.150767766,40228963.25179005,4098178.1010222808,0.25995190306910554,0.09930781398193837
306,36273314.67214245,40495774.338824466,4222459.666682012,0.26463126461477393,0.09678881397372387
307,36241959.20638462,40559116.087510936,4317156.881126314,0.2711401360665597,0.10476846770248939
308,36373883.2686918,40699854.92327333,4325971.654581532,0.273419097606696,0.10450921897097953
309,35848295.521005526,40177338.64493318,4329043.123927653,0.2753146425945578,0.10330766226850481
310,36382502.939102,40627727.40392131,4245224.464819312,0.27067927873896264,0.10943724706154735
311,36196532.40711034,40269264.08878838,4072731.681678042,0.26450778765659216,0.09752076025873396
312,35689614.47784296,39811748.17572424,4122133.6978812814,0.26392976002841145,0.09573100175516133
313,36785028.119258694,41109445.6830164,4324417.563757703,0.2747816614579793,0.11275795400241947
314,36816464.64811918,41117908.37337579,4301443.725256607,0.27007877159030685,0.09919249354140106
