测试情景编号,七年累计利润/元,七年销售收入/元,七年种植成本/元,七年总产量/斤,七年正常销量/斤,七年滞销率
117,36052732.47281489,43655691.47012754,7602958.997312656,10980077.043855416,7997451.815778688,0.27163973587469875
118,36367382.03600213,43881407.127944574,7514025.091942444,10992671.036227448,7986982.279016373,0.2734266082652275
119,36350120.40285893,43906639.23345387,7556518.8305949345,11103636.525917191,8012380.470167668,0.2784003284450251
120,36251813.16861214,43798491.1880692,7546678.019457069,11012150.074151378,7961332.938214675,0.27704100610632176
121,36276178.371469826,43807166.11450101,7530987.743031185,10999104.439440709,7953105.375475634,0.27693155208552234
122,36456674.82580019,44028235.10868045,7571560.28288027,11208427.110689124,8043190.996938337,0.2823978853136495
123,36299579.112837404,43817645.56951994,7518066.456682539,11026021.938559676,7986218.321810529,0.27569359408931443
124,36527987.10413532,44051033.59464082,7523046.49050551,11030644.137428999,8028187.560658352,0.27219231618421635
125,36545606.97026916,44092937.04426837,7547330.073999205,11082406.431192514,8036726.9132860685,0.27482113535685565
126,36404659.25466487,43973634.51183509,7568975.257170216,11024010.940491822,8033480.726924742,0.2712742421710316
127,36443104.90627122,43976657.125638515,7533552.219367295,11110430.177228406,7991277.505928243,0.2807409453589909
128,36205977.44237191,43744108.8068271,7538131.364455195,11148652.758201089,7990974.609222572,0.28323405683755726
129,36290955.54063007,43827896.51298637,7536940.972356294,10880804.305303851,7951499.0445137145,0.2692177139296813
130,36217765.59889667,43781156.56645717,7563390.967560503,10964879.582447179,7994006.812807841,0.270944404569219
131,36479634.28130399,44034608.56224747,7554974.280943487,11074085.257114157,8038811.394102087,0.27408799847031745
132,36113804.55361624,43648413.716788955,7534609.163172714,11107712.737913217,7954468.00909191,0.28387885095898696
133,36523753.31028434,44071652.08186374,7547898.7715794,11093019.599323936,8100089.134766099,0.2698030448571677
134,36145901.18500942,43724105.22535188,7578204.040342461,10918650.760754885,7952555.449080549,0.2716540144626137
135,36249793.69464535,43811635.509881355,7561841.815235993,10977650.587368324,7989523.087830323,0.2722010029155379
136,36294757.03779285,43812578.31788776,7517821.280094912,11093780.586130543,7995876.778505708,0.2792468972658282
137,36382467.8660121,43964895.09396308,7582427.227950983,11031861.242232963,7987257.954411169,0.275982739536845
138,35869128.97187784,43428175.49362089,7559046.5217430405,11002320.683249036,7918453.49194766,0.2802924292141879
139,36270649.343340054,43815695.38937107,7545046.046031008,10923692.383665703,7937437.363562277,0.27337414083252665
140,36445782.81258374,43987471.3411523,7541688.528568566,11016215.64200537,7993534.732377483,0.27438468961176266
141,36257213.632350884,43801345.17114941,7544131.538798524,10985797.86416676,7963174.338465782,0.275139189986383
142,36488077.0985495,44023519.96445881,7535442.865909308,11107207.671651572,8065324.377730129,0.27386570809197214
143,36306340.368548386,43880425.35300422,7574084.984455827,11126459.474841885,7988890.78741537,0.28199165192853065
144,36588783.9395725,44142148.25910226,7553364.31952977,11076837.64836175,8080312.537107776,0.2705217144441181
145,36406984.97164423,43960845.9472163,7553860.975572072,10922194.236772424,7974607.889898361,0.2698712624016741
146,36126228.55242388,43653437.83501647,7527209.282592591,10920369.8057191,7913161.384951987,0.2753760609088723
147,36726046.44880186,44254402.64034934,7528356.191547475,11205874.06377532,8045451.058087356,0.28203270781924167
148,36614852.594734274,44166049.60532248,7551197.010588209,11132610.4100345,8037430.060511351,0.27802826430836697
149,36392868.417582,43994627.232206166,7601758.814624167,10971861.907923017,7963392.4053360075,0.27419862989840665
150,36344143.70875084,43912944.04611504,7568800.3373642005,10936284.878856502,7999575.419551159,0.2685289832731941
151,36468249.893786974,44015419.372257076,7547169.478470106,11066707.823050408,8030822.826270791,0.2743259373357894
152,36753055.54540203,44272901.92114446,7519846.3757424345,11125674.751818199,8094981.677541153,0.2724053274864753
153,35995665.14391374,43504005.61534554,7508340.471431798,11024479.968209397,7910506.77280537,0.282459871520797
154,36254171.22723754,43783476.70839953,7529305.481161997,11069387.813291667,8038657.548610095,0.2737938462181617
155,36417004.01675852,43959793.848892085,7542789.832133569,11020684.222138397,8020225.895693535,0.2722569911237933
156,36249822.84978561,43790451.7119271,7540628.862141494,11077395.534525858,7960464.478389369,0.2813776077979418
157,36565224.46282564,44112864.39846884,7547639.9356431905,11081792.674914159,8070739.712775569,0.2717117212411586
158,36298917.01099127,43872693.66336576,7573776.652374495,10984659.235354818,8020996.796561357,0.26980012536526643
159,36530225.387051135,44078982.54397016,7548757.156919022,10992024.841333581,8011135.82096993,0.2711865250844904
160,36491869.83069215,44005496.348744996,7513626.518052846,10978045.314468322,7989801.111577403,0.27220184625696664
161,36392784.52270025,43856781.02865373,7463996.505953481,11068392.29286634,7997750.421309879,0.2774243801907448
162,36468490.10341772,44037197.19220176,7568707.08878404,11042050.659530768,8043426.862642343,0.2715640318404273
163,36503329.95858261,44038025.14464852,7534695.18606591,11115021.142882407,8044967.558728902,0.2762076243210242
164,36417238.63380612,43965595.19551917,7548356.561713047,11101407.523886379,8025803.678082554,0.2770462969840709
165,36421897.15668576,43979239.14395897,7557341.987273216,10910840.9516432,7949251.549768566,0.2714354846707404
166,36362181.37100692,43924146.90581171,7561965.534804787,10967581.72520969,7999160.107758591,0.27065415985257646
167,36187425.52561924,43758323.403347135,7570897.87772789,11074457.622365255,7988948.846829043,0.2786148884894299
168,36377404.821561895,43943560.518945314,7566155.697383418,11094488.386812259,7991570.02778092,0.27968106782821095
169,36282050.678102404,43846464.52307844,7564413.844976044,11014008.013012145,8013596.748049185,0.2724177485088281
170,36389033.191990465,43920477.313701846,7531444.121711377,11071825.235393412,8053367.893211443,0.27262508917977113
171,36504137.667140916,44026586.88209827,7522449.214957353,11120225.152780764,8010076.443038335,0.2796839692553072
172,36310789.483918615,43898584.1928709,7587794.70895228,11082194.580779245,7984953.640945523,0.2794790253191836
173,36512866.6380098,44052116.594490334,7539249.956480535,11019241.082451016,8040053.105276501,0.2703623557087883
174,36665116.93085953,44186358.25937392,7521241.328514392,11108566.063383844,8054324.883308639,0.2749446834675289
175,36726487.19163408,44247223.21697657,7520736.025342494,11078925.721448028,8058018.217276521,0.2726715188931397
176,36524934.433650374,44059496.342302956,7534561.908652581,11014397.58582341,8012791.885464521,0.27251655635004896
177,36529328.36390583,44091427.2610723,7562098.897166459,11062194.831648998,8071547.3108119415,0.27034847662245093
178,36516306.36393386,44064661.573606744,7548355.209672881,10972722.84826091,8005423.737800185,0.2704250486861626
179,36661589.02633829,44211447.810058095,7549858.783719808,11103540.377174938,8064179.707117435,0.27372896993335427
180,36275190.270987935,43837632.16826441,7562441.897276475,11067906.518432155,7979969.611564206,0.2789991857742377
181,36198989.99570386,43747976.019094676,7548986.023390808,11016870.561983868,7945050.746153346,0.2788287107983742
182,36276202.116197385,43819284.28251779,7543082.1663204115,11127618.421748646,8030031.707029947,0.2783692428439624
183,36194524.24769518,43710803.88751564,7516279.639820461,11010818.896374198,7974282.789906137,0.27577749984317473
184,36390984.79514207,43933161.22042023,7542176.425278168,11085093.655936388,8031311.714189532,0.27548544347313364
185,36683169.70452464,44213758.68877791,7530588.984253269,11073748.268104292,8000874.889896137,0.27749171317709564
186,36282166.550014235,43809409.52534469,7527242.975330464,11038199.316475652,7983874.425407614,0.27670499539803955
187,36167688.607089795,43707446.68828526,7539758.0811954625,10940971.795230303,7930862.713315271,0.2751226434225234
188,36078448.770274535,43631758.51948753,7553309.749212997,11016932.657890867,7920637.5021897685,0.2810487503055926
189,36531211.27671055,44065494.394277215,7534283.117566668,11035244.331295941,8006468.126776522,0.27446390071580135
190,36142322.827825874,43651421.9839427,7509099.156116827,10956951.549583342,7918871.775207917,0.2772741816578493
191,36320574.42265815,43862057.80304867,7541483.380390517,11048354.224733341,7980695.78319147,0.27765750256943006
192,36818422.83698236,44353297.28193331,7534874.4449509485,11178609.300754767,8061811.3460411625,0.2788180417490002
193,36641664.652705766,44149764.12791894,7508099.475213171,11092127.279757591,8046404.50509014,0.274584189114535
194,36520801.11046505,44069586.86710349,7548785.756638434,11063915.398201669,8004169.831363132,0.27655178629943866
195,36686641.297767475,44221056.1098891,7534414.812121624,11099117.789958632,8035652.310070202,0.2760098178848004
196,36624546.19400001,44146924.60823882,7522378.414238807,11021107.954086646,8062322.252525613,0.26846535882664235
197,36202781.83205439,43756028.50960092,7553246.677546531,11046993.794105416,8003588.28944188,0.2754962627287319
198,36390078.7197609,43929434.162655264,7539355.442894362,10985045.902083201,7983492.318819768,0.2732399673172253
199,36378345.92278457,43952007.96190221,7573662.039117634,11055647.033881402,8023153.63397843,0.27429361579738565
200,36286854.32365536,43797773.64710863,7510919.323453267,11068768.8885896,7946544.987920262,0.2820750827933473
201,36666742.7211606,44211742.44008934,7544999.718928738,11106142.28530714,8072241.08905864,0.2731732691973698
202,36371151.20817506,43908804.89182624,7537653.683651177,11088469.972083949,8064665.882961622,0.2726980455134909
203,36342515.10286331,43834828.97792029,7492313.875056978,11037741.588724831,8009567.232555569,0.2743472776407969
204,36515028.432186395,44012217.694473885,7497189.262287485,11118307.621682702,8044798.448285403,0.27643678138599104
205,36417406.93222206,43940335.23334003,7522928.301117972,10974589.25210937,7949809.065192252,0.27561671033252927
206,36399557.996084884,43979275.05932023,7579717.063235345,11066139.207021326,8056963.126248237,0.27192646183809116
207,36363339.624587,43880148.310091645,7516808.685504641,11034623.34016861,7989618.81695625,0.2759500192569176
208,36410885.752217494,43941892.34607976,7531006.5938622635,11052289.942207672,8015959.42129294,0.2747241102786552
209,36475607.96143653,44035391.3286331,7559783.367196567,11049449.650779935,8019466.553248733,0.2742202728004039
210,36628018.580291525,44153366.48349264,7525347.90320112,11076061.861102799,8030134.420140843,0.275000941594478
211,36321203.02621849,43855451.34766639,7534248.321447908,10956379.037016753,8052138.74067939,0.2650730032728168
212,36409350.698203474,43929625.71443927,7520275.01623579,11077384.527259989,7991172.367446974,0.27860476922311866
213,35986970.608263224,43543081.16407543,7556110.555812206,10860223.543243779,7967540.743281513,0.2663557327751162
214,36322064.69228531,43848546.42858749,7526481.736302182,11041844.69224918,7983311.260751769,0.27699478816654144
215,36020276.360037886,43578661.05772552,7558384.697687634,10984449.58917647,8013913.172135698,0.27043106647490023
216,36200245.11476382,43759023.31224966,7558778.197485842,11128561.630031593,8015612.1171486275,0.2797261332032654
217,35818568.33922576,43356855.26106069,7538286.921834921,11012690.304813597,7903574.592748522,0.2823211791133448
218,36503344.249235585,44033569.13134825,7530224.882112668,11108250.249635903,8031160.172612118,0.27700943063689476
219,36298920.54517497,43832886.44227323,7533965.897098252,11047658.029308207,7974679.551171883,0.27815655317933036
220,36534728.6618221,44034274.76213704,7499546.1003149375,11046372.823399002,8009095.340305233,0.27495699553613195
221,36223940.52260259,43779103.72341594,7555163.200813351,10973394.95240716,8019235.262432318,0.26921109672871185
222,36703085.01442641,44282743.66745066,7579658.6530242525,11069730.754943527,8074025.21731516,0.27062135511205127
223,36218248.96674467,43754550.3917405,7536301.424995834,11111810.139606526,7995212.854646048,0.2804761101750465
224,36442283.1500843,43928044.20654202,7485761.056457721,11029037.480783781,7980137.17366204,0.2764430089601137
225,36136639.11952937,43678029.91108984,7541390.791560473,10943484.739839556,8000671.141684606,0.26891010204836224
226,36320321.32546821,43873516.82074235,7553195.495274136,11032981.483908426,7966996.445795594,0.2778927022205705
227,36841421.78847299,44375893.72486821,7534471.936395217,11076650.620388912,8073347.008759783,0.2711382451750275
228,36474114.649791405,44030301.807671145,7556187.157879734,11098698.774333512,8019448.279448545,0.27744247839268704
229,36693696.723660424,44222137.0369542,7528440.313293783,11198837.615539724,8055824.461857866,0.28065530205747
230,36188404.31471525,43746396.17528544,7557991.8605702,10989326.355559373,7945334.007675096,0.2769953543462067
231,36255286.44806603,43815797.82213027,7560511.374064233,11094118.94128503,7994594.478069739,0.27938446303120973
232,36214532.68172425,43772586.84099986,7558054.159275608,11061445.965884835,8003137.598763635,0.2764835968600744
233,36738769.21232064,44261188.23549832,7522419.023177678,10994163.79186814,7994901.42640758,0.2728049556328215
234,36268471.13331651,43812111.36703872,7543640.233722215,11031061.729092343,7978582.628884479,0.27671670915933017
235,36439714.58236621,43966372.49859543,7526657.916229227,11017471.58862647,8046844.410245721,0.2696287577857137
236,36387190.93301691,43909498.00060706,7522307.067590145,11042693.332773346,7957030.916735638,0.2794302370853535
237,36582690.216475606,44085457.322898634,7502767.106423023,11084899.869964747,8015494.644596717,0.2768996798685373
238,36164332.048292205,43753859.4220734,7589527.3737812005,10895737.935884468,7999538.239782259,0.2658103299790046
239,36534152.02993213,44065884.03110576,7531732.0011736285,11057585.345252007,7992565.782806937,0.2771870590862003
240,36661244.58789197,44216274.750954024,7555030.163062052,11159713.622284818,8052597.008602303,0.2784226118023242
241,36275328.17741664,43819547.01320022,7544218.835783583,11127597.26336233,8013591.441093104,0.2798453025004873
242,36202555.32035431,43768957.224134624,7566401.903780317,10978380.441393947,8026574.223231609,0.2688744695923055
243,36100465.54852103,43658254.910737485,7557789.362216461,10983248.163739886,7949033.350569342,0.27625842263927947
244,36497931.552498534,44059287.65251916,7561356.100020631,11136393.020810306,8081269.672202583,0.2743368829475296
245,36457285.10714908,43996962.45572378,7539677.3485747,11026063.026143717,7979507.829163534,0.2763048959321696
246,36292413.386813365,43871341.91561595,7578928.52880259,10950753.938081933,7975507.424041371,0.2716933035719081
247,36630438.14180828,44208327.23409003,7577889.092281753,11183725.867929533,8087849.758876238,0.27681974197266707
248,36188382.29505471,43718691.47208527,7530309.177030553,10962237.777283652,7954249.82512943,0.2743954303187515
249,36428460.18299887,43972753.53948109,7544293.356482214,11010239.654669631,8044092.990199996,0.2693989193243075
250,36178235.619488426,43750928.71880174,7572693.099313309,11050454.569090568,8010856.252000881,0.27506545527926096
251,36618894.78616138,44170061.08598002,7551166.299818642,11123123.094022896,8082066.651720863,0.27339951348162017
252,36576514.17921817,44092072.7334712,7515558.554253023,11063600.757977996,8033498.809571081,0.27388026870202264
253,36444423.69265587,43964205.30752257,7519781.6148667075,11032561.300316969,8051507.75781505,0.2702050286741912
254,36051742.77663425,43605257.05783484,7553514.281200593,10998873.209616596,7995193.300487981,0.2730897840064581
255,36206475.49102773,43780607.23456528,7574131.743537548,11047332.63111289,7979758.213605018,0.2776755729132825
256,36365225.59548191,43905244.05656666,7540018.461084759,11033762.410790486,8031585.171570536,0.27209007475853986
257,36359860.74429018,43931682.618137375,7571821.873847194,11036882.826156763,8019345.087568416,0.273404890322561
258,36713523.60610253,44243507.0908172,7529983.484714668,11142332.597512923,8041273.337044529,0.27831329152394724
259,36104198.36632855,43643879.90724164,7539681.540913086,10974519.85884221,7981717.80623437,0.27270460039274785
260,36143925.72154131,43707248.50716587,7563322.78562457,10989308.712436443,7940272.01981502,0.27745482199174837
261,36199462.026544064,43741847.25342403,7542385.226879967,10989969.331993926,7985290.930533224,0.2734018913695694
262,36612338.12938589,44162063.70689195,7549725.577506065,11145983.195999892,8053486.608967847,0.2774539071745497
263,36487098.90905135,44030356.83125964,7543257.922208286,10946701.28699725,8020480.1200553905,0.2673153391348765
264,36269023.14600386,43814666.801966615,7545643.65596275,11091979.421167847,8003476.515994927,0.27844470205911537
265,36100588.745537855,43593044.72292801,7492455.977390165,10959233.806584036,7971785.741910268,0.2725964348784113
266,36641033.04768443,44137506.9752224,7496473.927537966,11074755.563162914,8000985.133344671,0.27754747382798073
267,36441195.71439697,43988524.29639551,7547328.581998535,10944060.856661659,8029015.14501721,0.26635868987059386
268,36777258.478141576,44264848.23185097,7487589.75370939,11067574.734175421,8106928.097219031,0.2675063605230735
269,36378791.23276532,43921507.87360434,7542716.6408390235,11033778.312141515,8021227.899805876,0.27302981146726896
270,36024941.55023287,43571606.6869488,7546665.136715924,10974736.505997902,7958973.049433228,0.274791422547275
271,36303868.64495524,43854515.91245688,7550647.26750163,10920716.666122679,7975637.962405422,0.26967815334438905
